name,league,age,height,position,erfolge,caps,goalsCap,follower,club,contractYear,country,appearances,goals,assists,minuted,price
Habib Keïta,4,19,1.82,2,0,0,0,6063.0,1,3.5397260273972604,3,8.0,1.0,0.0,413.0,0.5
Rogério,2,23,1.78,1,0,0,0,249000.0,1,2.5397260273972604,2,12.0,0.0,1.0,1.021,6.0
Léo Sena,2,25,1.75,2,0,0,0,45041.0,1,2.5397260273972604,2,133.0,0.0,9.0,9.272,2.0
Davide Faraoni,2,30,1.8,1,1,7,0,26400.0,1,2.5397260273972604,1,15.0,2.0,3.0,1.273,7.0
Marvin Plattenhardt,3,29,1.81,1,2,7,0,48909.0,1,1.536986301369863,1,13.0,0.0,1.0,1.125,4.0
Mathías Suárez,4,25,1.82,1,0,3,0,16858.0,1,1.536986301369863,2,4.0,0.0,0.0,315.0,0.5
Víctor Chust,1,21,1.82,1,3,1,0,22683.0,1,0.536986301369863,1,9.0,0.0,0.0,638.0,1.0
Clément Lenglet,1,26,1.86,1,3,15,1,2280189.0,0,4.53972602739726,1,10.0,0.0,0.0,542.0,18.0
Gary Medel,2,34,1.71,1,4,139,7,3483364.0,1,0.536986301369863,2,17.0,0.0,1.0,1.388,1.0
Dries Mertens,2,34,1.69,3,5,103,21,1883589.0,1,0.536986301369863,1,14.0,6.0,0.0,594.0,7.0
Fidel,1,32,1.8,3,0,0,0,52511.0,1,2.5397260273972604,1,15.0,2.0,2.0,1.128,2.0
Timothy Tillman,3,22,1.83,2,1,5,0,14009.0,1,0.536986301369863,1,10.0,1.0,3.0,523.0,0.5
Nicolò Barella,2,24,1.72,2,3,35,7,1207364.0,0,4.53972602739726,1,20.0,1.0,6.0,1.659,65.0
Alphonso Davies,3,21,1.83,1,8,30,10,957367.0,0,3.5397260273972604,2,19.0,0.0,5.0,1.48,70.0
Marvin Zeegelaar,2,31,1.86,1,1,0,0,22983.0,1,0.536986301369863,1,2.0,0.0,0.0,18.0,1.2
Mickaël Malsa,1,26,1.79,2,0,3,0,12417.0,1,2.5397260273972604,2,12.0,1.0,3.0,667.0,5.0
Stéphane Diarra,4,22,1.73,3,0,0,0,28734.0,1,3.5397260273972604,3,10.0,0.0,1.0,351.0,2.0
Unai García,1,29,1.86,1,0,0,0,18694.0,1,1.536986301369863,1,11.0,0.0,0.0,920.0,1.5
Francisco Trincão,0,21,1.84,3,4,6,0,860588.0,1,0.536986301369863,1,12.0,1.0,0.0,726.0,22.0
Naël Jaby,4,20,1.75,2,0,1,0,17870.5,1,2.5397260273972604,1,21.0,1.0,3.0,1.319,0.25
Sergi Gómez,1,29,1.85,1,4,0,0,165898.0,1,2.5397260273972604,1,16.0,1.0,0.0,1.366,2.0
Alberth Elis,4,25,1.8,3,1,53,12,189983.0,1,0.536986301369863,2,9.0,5.0,0.0,672.0,4.0
Anthony Limbombe,4,27,1.77,3,5,1,0,25457.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,2.0
Hans Hateboer,2,27,1.85,1,1,11,0,34777.0,1,1.536986301369863,1,2.0,0.0,0.0,134.0,16.0
Julian Chabot,2,23,1.95,1,0,4,0,8578.0,1,2.5397260273972604,1,9.0,0.0,0.0,379.0,3.0
Simone Trimboli,2,19,1.76,2,0,0,0,1938.0,1,2.5397260273972604,1,1.0,0.0,0.0,59.0,0.5
Christian Kabasele,0,30,1.87,1,1,2,0,29736.0,1,2.5397260273972604,1,4.0,0.0,0.0,292.0,4.0
Andreas Skov Olsen,2,21,1.87,3,0,15,6,28660.0,1,2.5397260273972604,1,14.0,0.0,1.0,432.0,6.5
Gonzalo Montiel,1,24,1.76,1,6,13,0,1029124.0,1,4.53972602739726,2,28.0,5.0,1.0,2.126,17.0
Alexis Claude-Maurice,4,23,1.74,2,0,2,0,13368.0,1,2.5397260273972604,1,6.0,0.0,1.0,128.0,12.0
Rodrigo Bentancur,2,24,1.87,2,10,45,0,1645088.0,0,2.5397260273972604,2,16.0,0.0,3.0,1.067,30.0
Jordan Veretout,2,28,1.77,2,2,5,0,10.0,1,2.5397260273972604,1,20.0,4.0,4.0,1.646,33.0
Óscar Duarte,1,32,1.86,1,2,66,3,152518.0,1,0.536986301369863,2,9.0,0.0,0.0,679.0,0.8
Sergio Ramos,4,35,1.84,1,14,180,23,48803899.0,0,1.536986301369863,1,1.0,0.0,0.0,90.0,10.0
Admir Mehmedi,3,30,1.83,3,1,76,10,59899.0,1,0.536986301369863,1,2.0,0.0,0.0,20.0,2.5
Ethan Pinnock,0,28,1.94,1,0,2,0,13630.0,1,3.5397260273972604,2,16.0,1.0,1.0,1.348,7.0
Álvaro Odriozola,2,25,1.76,1,5,4,1,931427.0,1,0.536986301369863,1,12.0,0.0,1.0,792.0,10.0
Waniss Taïbi,4,19,1.84,2,0,1,0,12027.0,1,0.536986301369863,1,8.0,0.0,2.0,612.0,0.5
Fábio Silva,0,19,1.85,3,3,5,2,169873.0,1,3.5397260273972604,1,11.0,1.0,2.0,329.0,25.0
Phil Foden,0,21,1.71,2,11,13,2,3686026.0,0,2.5397260273972604,0,15.0,5.0,5.0,981.0,80.0
Sinaly Diomandé,4,20,1.84,1,0,8,0,27114.0,1,3.5397260273972604,3,14.0,0.0,0.0,800.0,7.0
Hee-chan Hwang,0,25,1.77,3,8,43,7,170842.0,1,0.536986301369863,3,16.0,4.0,1.0,1.113,11.0
Adrien Tamèze,2,27,1.8,2,0,0,0,22334.0,1,2.5397260273972604,3,17.0,2.0,0.0,916.0,6.0
Fábio,4,31,1.72,1,4,2,0,28475.0,1,0.536986301369863,2,11.0,0.0,0.0,740.0,1.8
Maxime Estève,4,19,1.93,1,0,1,0,16858.0,1,0.536986301369863,1,13.0,0.0,0.0,948.0,0.8
Rayan Cherki,4,18,1.76,2,0,3,4,298685.0,1,1.536986301369863,1,14.0,2.0,2.0,470.0,23.0
Gianluca Frabotta,2,22,1.87,1,5,4,0,115404.0,1,0.536986301369863,1,0.0,0.0,0.0,0.0,2.5
Papa Ndiaga Yade,4,21,1.86,3,0,0,0,9993.0,1,2.5397260273972604,3,8.0,0.0,0.0,281.0,3.0
Papu Gómez,1,33,1.67,3,3,11,3,3512061.0,1,2.5397260273972604,2,15.0,1.0,0.0,829.0,9.0
Ben Klefisch,3,18,1.86,2,0,0,0,136389.5,1,2.5397260273972604,1,15.0,1.0,1.0,1.162,0.2
Felipe,1,32,1.9,1,5,2,0,635919.0,0,0.536986301369863,2,12.0,1.0,1.0,896.0,9.0
Kevin Long,0,31,1.88,1,1,17,1,6471.0,1,1.536986301369863,1,2.0,0.0,0.0,154.0,1.0
Tomás Pina,1,34,1.85,2,1,0,0,16701.0,1,0.536986301369863,1,14.0,0.0,0.0,625.0,1.2
Jeremy Dudziak,3,26,1.76,2,1,1,0,8814.0,1,2.5397260273972604,1,9.0,1.0,1.0,510.0,2.0
Timothy Chandler,3,31,1.86,1,1,29,1,55096.0,1,3.5397260273972604,2,10.0,0.0,1.0,733.0,1.5
Ishak Belfodil,3,29,1.92,3,0,17,2,111007.0,1,0.536986301369863,3,10.0,1.0,1.0,472.0,1.5
Enzo Roco,1,29,1.92,1,1,31,1,52511.0,1,1.536986301369863,2,14.0,1.0,0.0,1.136,1.5
Kevin Vázquez,1,28,1.75,1,0,0,0,9184.0,1,1.536986301369863,1,7.0,0.0,1.0,524.0,0.8
