name,league,age,height,position,erfolge,caps,goalsCap,follower,club,contractYear,country,appearances,nilnil_games,goals_conceded,minuted,price
Steve Mandanda,4,36,1.85,0,8,34,0,634401.0,1,2.5397260273972604,1,4.0,1.0,5.0,360.0,2.0
Unai Simón,1,24,1.9,0,3,20,0,3800.0,1,3.5397260273972604,1,14.0,6.0,10.0,1.26,20.0
Matz Sels,4,29,1.88,0,2,1,0,28585.0,1,2.5397260273972604,1,17.0,4.0,22.0,1.53,6.5
Alessandro Berardi,2,30,1.85,0,1,0,0,5432.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.05
Niklas Lomb,3,28,1.86,0,0,0,0,147390.0,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.25
Kepa Arrizabalaga,0,27,1.86,0,4,11,0,1796073.0,0,3.5397260273972604,1,4.0,2.0,2.0,271.0,13.0
Filippo Neri,2,19,1.88,0,0,0,0,19581.0,1,2.5397260273972604,1,0.0,0.0,0.0,0.0,0.05
Marc-Aurèle Caillard,4,27,1.91,0,0,1,0,9993.0,1,0.536986301369863,1,1.0,0.0,1.0,2.0,0.9
Giorgi Mamardashvili,1,21,1.97,0,0,3,0,108913.0,1,0.536986301369863,1,26.0,5.0,35.0,2.34,3.0
Loris Karius,0,28,1.91,0,0,1,0,1657420.0,0,0.536986301369863,1,248.0,79.0,318.0,22.119,2.0
Juan Musso,2,27,1.91,0,1,2,0,266753.0,1,3.5397260273972604,2,20.0,5.0,27.0,1.8,20.0
Michele Cerofolini,2,22,1.88,0,0,2,0,7671.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.7
Fabian Bredlow,3,26,1.9,0,1,5,0,24320.0,1,2.5397260273972604,1,6.0,1.0,9.0,540.0,0.5
Gautier Larsonneur,4,24,1.81,0,0,2,0,21040.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,5.0
Tom Heaton,0,35,1.88,0,2,3,0,120560.0,0,1.536986301369863,0,1.0,0.0,2.0,90.0,1.0
Mathew Ryan,1,29,1.84,0,3,66,0,170659.0,1,1.536986301369863,3,4.0,2.0,4.0,360.0,6.0
Paul Bernardoni,4,24,1.9,0,1,3,0,21529.0,1,2.5397260273972604,1,12.0,4.0,15.0,1.08,10.0
Samir Handanovic,2,37,1.93,0,4,81,0,4.0,0,0.536986301369863,1,21.0,8.0,18.0,1.89,2.5
David Raya,0,26,1.83,0,0,0,0,24253.0,1,2.5397260273972604,1,9.0,3.0,9.0,810.0,18.0
Alexander Nübel,4,25,1.93,0,3,17,0,131133.0,1,1.536986301369863,1,25.0,6.0,26.0,2.28,6.0
Ivor Pandur,2,21,1.87,0,2,4,0,6372.0,1,3.5397260273972604,1,2.0,1.0,3.0,180.0,1.0
Adrian Semper,2,23,1.94,0,2,13,0,20489.0,1,3.5397260273972604,1,0.0,0.0,0.0,0.0,2.3
Anthony Mandréa,4,24,1.86,0,0,2,0,2319.0,1,0.536986301369863,1,2.0,0.0,7.0,180.0,0.4
Christian Früchtl,3,21,1.93,0,8,3,0,121420.0,0,1.536986301369863,1,2.0,0.0,4.0,180.0,0.6
Gianluigi Donnarumma,4,22,1.96,0,3,40,0,4187594.0,0,4.53972602739726,1,9.0,3.0,8.0,810.0,65.0
Jonas Kersken,3,21,1.9,0,0,0,0,71552.0,1,1.536986301369863,1,7.0,2.0,8.0,630.0,0.1
