name,league,age,height,position,erfolge,caps,goalsCap,follower,club,contractYear,country,appearances,goals_nilnilgames,assists_conceded,minuted,price
Steve Mandanda,4,36,1.85,0,0.9254276333541454,37.30292051477255,0.0,32.95089086193325,1,2.5424657534246577,1,7.272540897341713,7.272540897341713,7.272540897341713,360.0,2.0
Unai Simón,1,24,1.9,0,0.7199940750746285,31.943308091265088,0.0,20.32913851496092,1,3.5424657534246577,1,31.4313988254385,31.4313988254385,31.4313988254385,1.26,20.0
Matz Sels,4,29,1.88,0,0.6524036289061143,7.272540897341713,0.0,25.305845505603607,1,2.5424657534246577,1,19.63905829098702,19.63905829098702,19.63905829098702,1.53,6.5
Alessandro Berardi,2,30,1.85,0,0.5780590717299579,0.0,0.0,21.21036433779729,1,1.5397260273972602,1,-31.4313988254385,-31.4313988254385,-31.4313988254385,0.0,0.05
Niklas Lomb,3,28,1.86,0,0.5,0.0,0.0,29.35107651890989,1,0.5397260273972603,1,-14.545081794683426,-14.545081794683426,-14.545081794683426,0.0,0.25
Kepa Arrizabalaga,0,27,1.86,0,0.7788957599217969,26.071786401931032,0.0,35.51751528039316,0,3.5424657534246577,1,26.911599188328736,26.911599188328736,26.911599188328736,271.0,13.0
Filippo Neri,2,19,1.88,0,0.5,0.0,0.0,24.372787669480697,1,2.5424657534246577,1,-31.4313988254385,-31.4313988254385,-31.4313988254385,0.0,0.05
Marc-Aurèle Caillard,4,27,1.91,0,0.5,7.272540897341713,0.0,22.71376733212015,1,0.5397260273972603,1,-1.1054487136015798,-1.1054487136015798,-1.1054487136015798,2.0,0.9
Giorgi Mamardashvili,1,21,1.97,0,0.5,14.545081794683426,0.0,28.604938983495074,1,0.5397260273972603,1,11.526704607247604,11.526704607247604,11.526704607247604,2.34,3.0
Loris Karius,0,28,1.91,0,0.5,7.272540897341713,0.0,35.31937137879941,0,0.5397260273972603,1,7.272540897341713,7.272540897341713,7.272540897341713,22.119,2.0
Juan Musso,2,27,1.91,0,0.5780590717299579,11.526704607247604,0.0,30.814188855562964,1,3.5424657534246577,2,31.4313988254385,31.4313988254385,31.4313988254385,1.8,20.0
Michele Cerofolini,2,22,1.88,0,0.5,11.526704607247604,0.0,22.06158331526031,1,1.5397260273972602,1,-3.742254444079303,-3.742254444079303,-3.742254444079303,0.0,0.7
Fabian Bredlow,3,26,1.9,0,0.5780590717299579,18.799245504589315,0.0,24.907332675802074,1,2.5424657534246577,1,-7.272540897341713,-7.272540897341713,-7.272540897341713,540.0,0.5
Gautier Larsonneur,4,24,1.81,0,0.5,11.526704607247604,0.0,24.550030243776753,1,1.5397260273972602,1,16.886317030755073,16.886317030755073,16.886317030755073,0.0,5.0
Tom Heaton,0,35,1.88,0,0.6524036289061143,14.545081794683426,0.0,28.855510867236546,0,1.5397260273972602,0,0.0,0.0,0.0,90.0,1.0
Mathew Ryan,1,29,1.84,0,0.7199940750746285,44.11588172452663,0.0,29.712600299149962,1,1.5397260273972602,4,18.799245504589315,18.799245504589315,18.799245504589315,360.0,6.0
Paul Bernardoni,4,24,1.9,0,0.5780590717299579,14.545081794683426,0.0,24.606694738822657,1,2.5424657534246577,1,24.15885792809679,24.15885792809679,24.15885792809679,1.08,10.0
Samir Handanovic,2,37,1.93,0,0.7788957599217969,46.23555696056181,0.0,3.4190225827029095,0,0.5397260273972603,1,9.61377613341336,9.61377613341336,9.61377613341336,1.89,2.5
David Raya,0,26,1.83,0,0.5,0.0,0.0,24.900528795589654,1,2.5424657534246577,1,30.325950111836917,30.325950111836917,30.325950111836917,810.0,18.0
Alexander Nübel,4,25,1.93,0,0.7199940750746285,30.325950111836917,0.0,29.06283948649941,1,1.5397260273972602,1,18.799245504589315,18.799245504589315,18.799245504589315,2.28,6.0
Ivor Pandur,2,21,1.87,0,0.6524036289061143,16.886317030755073,0.0,21.604001172631495,1,3.5424657534246577,1,0.0,0.0,0.0,180.0,1.0
Adrian Semper,2,23,1.94,0,0.6524036289061143,27.689144381359196,0.0,24.48458137882197,1,3.5424657534246577,1,8.738931398986917,8.738931398986917,8.738931398986917,0.0,2.3
Anthony Mandréa,4,24,1.86,0,0.5,11.526704607247604,0.0,19.111117534652056,1,0.5397260273972603,1,-9.613776133413358,-9.613776133413358,-9.613776133413358,180.0,0.4
Christian Früchtl,3,21,1.93,0,0.9254276333541454,14.545081794683426,0.0,28.873041488840983,0,1.5397260273972602,1,-5.35961242350747,-5.35961242350747,-5.35961242350747,180.0,0.6
Gianluigi Donnarumma,4,22,1.96,0,0.7199940750746285,38.963016063220095,0.0,37.60529968600196,0,4.542465753424658,1,43.7979162190838,43.7979162190838,43.7979162190838,810.0,65.0
Jonas Kersken,3,21,1.9,0,0.5,0.0,0.0,27.568783388613443,1,1.5397260273972602,1,-24.158857928096783,-24.158857928096783,-24.158857928096783,630.0,0.1
Caoimhin Kelleher,0,23,1.88,0,0.7199940750746285,11.526704607247604,0.0,30.795292517430138,0,4.542465753424658,1,9.61377613341336,9.61377613341336,9.61377613341336,180.0,2.5
Nils-Jonathan Körber,3,25,1.89,0,0.6524036289061143,11.526704607247604,0.0,25.865537433324825,1,0.5397260273972603,1,-11.014795341421017,-11.014795341421017,-11.014795341421017,450.0,0.35
Bruno Bertinato,2,23,1.94,0,0.5,11.526704607247604,0.0,19.406446416309343,1,0.5397260273972603,2,-27.17723511553261,-27.17723511553261,-27.17723511553261,120.0,0.075
Alexander Schwolow,3,29,1.9,0,0.7199940750746285,21.81762269202514,0.0,25.31961175638006,1,3.5424657534246577,1,16.886317030755073,16.886317030755073,16.886317030755073,1.44,5.0
Aarón Escandell,1,26,1.85,0,0.5,0.0,0.0,21.984183528017144,1,1.5397260273972602,1,0.0,0.0,0.0,373.0,1.0
Jordan Pickford,0,27,1.85,0,0.5,39.46273234837491,0.0,34.16625047155119,1,2.5424657534246577,0,33.772634061510146,33.772634061510146,33.772634061510146,1.26,25.0
Marius Funk,3,25,1.87,0,0.5780590717299579,0.0,0.0,19.195792339940965,1,0.5397260273972603,1,-16.886317030755073,-16.886317030755073,-16.886317030755073,840.0,0.2
Manolo Reina,1,36,1.86,0,0.5,0.0,0.0,25.23379509983793,1,0.5397260273972603,1,-16.886317030755073,-16.886317030755073,-16.886317030755073,1.35,0.2
Vicente Guaita,0,34,1.9,0,0.5,0.0,0.0,25.709201821915,1,1.5397260273972602,1,7.272540897341713,7.272540897341713,7.272540897341713,1.35,2.0
Hugo Lloris,0,34,1.88,0,0.8283607275067787,51.62072861397402,0.0,32.69291426863491,0,0.5397260273972603,1,23.053409214495208,23.053409214495208,23.053409214495208,1.35,9.0
Javi Díaz,1,24,1.85,0,0.5780590717299579,0.0,0.0,21.35753164705907,1,0.5397260273972603,1,-9.613776133413358,-9.613776133413358,-9.613776133413358,540.0,0.4
Teddy Bartouche,4,24,1.78,0,0.5,0.0,0.0,19.32491622578705,1,0.5397260273972603,1,-19.904694218190897,-19.904694218190897,-19.904694218190897,270.0,0.15
Jasper Cillessen,1,32,1.87,0,0.9444488157226086,43.30213617808968,0.0,35.30816633630735,1,1.5397260273972602,1,16.886317030755073,16.886317030755073,16.886317030755073,900.0,5.0
Matthieu Dreyer,4,32,1.88,0,0.5,7.272540897341713,0.0,20.7230051265085,1,1.5397260273972602,1,-5.35961242350747,-5.35961242350747,-5.35961242350747,0.0,0.6
Wayne Hennessey,0,34,1.97,0,0.5,48.21226714259199,0.0,12.324641933014437,1,1.5397260273972602,1,0.0,0.0,0.0,90.0,1.0
