,name,number,league,age,height,position,erfolge,caps,goalsCap,urlInsta,follower,foot,agent,club,outfitter,contractExpires,score,country,price
0,Habib Keïta,19,Ligue 1,19,1.82,midfield,0,0,0,http://www.instagram.com/habib.keita_12/,6063,left,BLACKSKILL,Olympique Lyon,,2025-06-30,8/1/0/413/413/,Mali,0.5
1,Rogério,6,Serie A,23,1.78,Defender,0,0,0,http://www.instagram.com/roogerio98/,249000,left,Prattes Group,US Sassuolo,,2024-06-30,12/0/1/0/1.021/,Brazil,6
2,Steve Mandanda,30,Ligue 1,36,1.85,Goalkeeper,8,34,0,http://instagram.com/stevemandanda1/,634401,right,S.C. Sports Management,Olympique Marseille,Puma,2024-06-30,4/5/1/360/,France,2
3,Léo Sena,88,Serie A,25,1.75,midfield,0,0,0,http://www.instagram.com/leosena/,45041,right,R13 Fussball,Spezia Calcio,,2024-06-30,133/0/9/0/9.272/,Brazil,2
4,Davide Faraoni,5,Serie A,30,1.8,Defender,1,7,0,https://www.instagram.com/faraoni5/,26400,right,M.A.R.A.T. Football Management,Hellas Verona,Nike,2024-06-30,15/2/3/637/1.273/,Italy,7
5,Unai Simón,1,LaLiga,24,1.9,Goalkeeper,3,20,0,,3800,right,ICM Stellar Sports,Athletic Bilbao,,2025-06-30,14/10/6/1.260/,Spain,20
6,Marvin Plattenhardt,21,Bundesliga,29,1.81,Defender,2,7,0,http://www.instagram.com/platte21_official/,48909,left,Briem Soccer Connection,Hertha BSC,Nike,2023-06-30,13/0/1/0/1.125/,Germany,4
7,Mathías Suárez,22,Ligue 1,25,1.82,Defender,0,3,0,,,right,YOU FIRST SPORTS ,Montpellier HSC,,2023-06-30,4/0/0/0/315/,Uruguay,0.5
8,Víctor Chust,32,LaLiga,21,1.82,Defender,3,1,0,,,both,IDUB GLOBAL,Cádiz CF,,2022-06-30,9/0/0/0/638/,Spain,1
9,Clément Lenglet,15,LaLiga,26,1.86,Defender,3,15,1,http://www.instagram.com/clement_lenglet/,2280189,left,Wasserman,FC Barcelona,Nike,2026-06-30,10/0/0/0/542/,France,18
10,Gary Medel,17,Serie A,34,1.71,Defender,4,139,7,http://www.instagram.com/gary_medel17/,3483364,right,Fernando Felicevich,Bologna FC 1909,Nike,2022-06-30,17/0/1/0/1.388/,Chile,1
11,Dries Mertens,14,Serie A,34,1.69,attack,5,103,21,http://instagram.com/driesmertens,1883589,right,Stirr Associates,SSC Napoli,Nike,2022-06-30,14/6/0/99/594/,Belgium,7
